runner,compiler,version,support
macos-11,gcc,10,&check;
macos-11,gcc,11,&check;
macos-11,gcc,12,&check;
macos-11,gcc,5,
macos-11,gcc,6,&check;
macos-11,gcc,7,&check;
macos-11,gcc,8,&check;
macos-11,gcc,9,&check;
macos-12,gcc,10,&check;
macos-12,gcc,11,&check;
macos-12,gcc,12,&check;
macos-12,gcc,5,
macos-12,gcc,6,&check;
macos-12,gcc,7,&check;
macos-12,gcc,8,&check;
macos-12,gcc,9,&check;
ubuntu-18.04,gcc,10,&check;
ubuntu-18.04,gcc,11,&check;
ubuntu-18.04,gcc,12,
ubuntu-18.04,gcc,5,&check;
ubuntu-18.04,gcc,6,&check;
ubuntu-18.04,gcc,7,&check;
ubuntu-18.04,gcc,8,&check;
ubuntu-18.04,gcc,9,&check;
ubuntu-20.04,gcc,10,&check;
ubuntu-20.04,gcc,11,&check;
ubuntu-20.04,gcc,12,
ubuntu-20.04,gcc,5,
ubuntu-20.04,gcc,6,
ubuntu-20.04,gcc,7,&check;
ubuntu-20.04,gcc,8,&check;
ubuntu-20.04,gcc,9,&check;
ubuntu-22.04,gcc,10,&check;
ubuntu-22.04,gcc,11,&check;
ubuntu-22.04,gcc,12,&check;
ubuntu-22.04,gcc,5,
ubuntu-22.04,gcc,6,
ubuntu-22.04,gcc,7,
ubuntu-22.04,gcc,8,
ubuntu-22.04,gcc,9,&check;
windows-2019,gcc,10,&check;
windows-2019,gcc,11,&check;
windows-2019,gcc,12,&check;
windows-2019,gcc,5,
windows-2019,gcc,6,
windows-2019,gcc,7,
windows-2019,gcc,8,&check;
windows-2019,gcc,9,&check;
windows-2022,gcc,10,&check;
windows-2022,gcc,11,&check;
windows-2022,gcc,12,&check;
windows-2022,gcc,5,
windows-2022,gcc,6,
windows-2022,gcc,7,
windows-2022,gcc,8,&check;
windows-2022,gcc,9,&check;
